,user_id,age,country_code,was_referred,onboarding_completed_at,t2_upgrade_at,t3_upgrade_at,became_premium_at,premium_tier,is_fraud
0,493ba58e2bfed20c1f2adc625c237fa2e5b43c316d5f01b7622bb135a499d16c,39.0,GB,True,2021-07-09 19:46:56.987100220+00:00,,,,standard,
1,6ee2b36d5586b69d8475584466f233e2b0d3c659450511dcf5fcf9d84279a52e,32.0,FR,False,2021-07-27 14:26:43.138946001+00:00,,,,standard,
2,ac20c2bcfb93a0f4c66404ec7d8394894b2026faf2179eaf0cf6bf55d07f826a,33.0,NO,False,2021-06-03 20:05:20.539156940+00:00,,,,standard,
3,7b8fe525a57a45f4e710f02b86f3af014932639967c775f3dedf7fee183dd0db,32.0,FR,True,2021-07-08 17:05:32.102541080+00:00,,,,standard,
4,b4b3230407147e60bd9f84011d2c08ea4fcad72676c981ad798b1cdb014cedab,25.0,NL,True,2021-06-14 10:09:34.178454260+00:00,2021-07-26 08:33:08.874454260+00:00,,,standard,
5,4d7d9b7f3ce5363f42ddd587ba5374be2d59fbaab7a7725babb51531869ba040,27.0,BE,True,2021-07-10 10:58:48.857056880+00:00,,,,standard,
6,428e4224ca658eaa7d9152174b692694fc74d1973f1961e57faa2c240b505e9a,27.0,GB,True,2021-05-28 18:41:44.769068400+00:00,,,,standard,
7,582fcbb13230ad5a072acfb5084cc5ce3a2c3c452f8b00e625b9a890b0790e5a,32.0,GB,True,2021-05-20 19:22:55.688693300+00:00,,,,standard,
8,3a243d659b16efee05b978d31ebf63a1a9cc4b17471118cd31d6f17a43418ac6,21.0,DE,False,2021-05-17 08:15:06.848033140+00:00,,,,standard,
9,af7cf42f08c0cc66381b8c8a9bb51834a311ee267718b503c3ec7d0cc9fb2c62,40.0,FR,False,2021-06-06 12:50:15.330567920+00:00,,,,standard,
10,74858688b2709165d5ba8a3d7758b6d29affe44e3141d5cb90cd1e7d980c354a,33.0,GB,True,2021-07-07 11:57:02.946042200+00:00,,,,standard,
11,c2c220a8f7610d61c27af800f6cbda826a104c53a3d8ca23f0c13b291b65b05b,30.0,FR,False,2021-05-23 09:31:19.677340540+00:00,,,,standard,
12,90d7301441fd822709eaef5a255e89b61f8a52c42d3db637b2c1e94bb7abcd6e,48.0,CH,False,2021-05-04 13:28:13.306410120+00:00,,,,standard,
13,50e392aad7703b452ce6ead015114ce8daf31f75c97eb44afa38857e59d4b40c,27.0,CA,True,2021-05-21 17:22:06.581713260+00:00,,,,standard,
14,d46165ec21524f94fa04f851aeb5e7df31479f4e3df2805a28fb5f389d081548,61.0,FR,True,2021-07-11 18:41:40.821026500+00:00,,,,standard,
15,c65d09e690d3a204404f3c8ea418a15ddbf9711241e9f4e59558f0ed18538b2c,33.0,IT,False,2021-05-14 18:59:40.811850099+00:00,,,,standard,
16,1bc5d88b3c8e331e9b120abe9495e70b39c03590cc1322e295652ad3de4a7486,52.0,GB,True,2021-07-18 15:46:28.804445780+00:00,,,,standard,
17,71555f9584524ee5c6ed6b77ea50b1d1340c1c0ff5471160217aec9451eb4652,37.0,PL,True,2021-05-29 03:35:53.993074780+00:00,2021-05-29 04:12:28.843074780+00:00,,,standard,
18,22dbe7cffbe2c03af53da7e0097ab795dedf01b3d9b8a7d9de03039a2ee6fb25,37.0,FR,False,2021-05-09 19:21:39.845726620+00:00,,,,standard,
19,aa577c69b3aff8d007e206542b79df19c9e43e459d870a3f4bd3cce3bb14b60d,32.0,PL,False,2021-05-01 14:23:11.466977960+00:00,,,,standard,
20,896070fa107b300f46081f71479dcd9ec3654bbf82a88a33344ab981fe045c96,33.0,FR,True,2021-07-10 07:12:45.603150500+00:00,,,,standard,
21,585969cd0d0efcf40710474cb893555bfc735fa6de3e72797e78c7532008c36d,22.0,CH,False,2021-06-06 13:32:39.350488760+00:00,,,,standard,
22,ec4d144f591d62b840eabc6f55066399af57d002b04d10b4ad76ac1e7add19ec,40.0,FR,True,2021-07-21 09:32:26.277350380+00:00,,,,standard,
23,2fcc476ce6befbbad25bc1fadb2ab665c2672001d82bba8a1d166f3d13f84516,30.0,FR,True,2021-05-12 18:10:04.341715540+00:00,,,,standard,
24,adcb16e443ffa89a3b2db624562d41d7bedb13c2508dbf2defc1a3d6bf24fb47,24.0,CH,False,2021-05-14 15:20:57.676671320+00:00,,,,standard,
25,87521abe08ede8160e22cd1f7f4e99e9ef013a3f71dfaa5632dba143f81a7bc6,29.0,CH,False,2021-05-30 20:10:12.470624720+00:00,2021-06-02 11:22:34.280624720+00:00,,,standard,
26,f715e806db1d10df4563b7323504883c5918e3f6557f323b37a4f5b18662a25c,34.0,FR,False,2021-05-06 08:41:37.068694560+00:00,2021-05-06 08:50:50.288694560+00:00,,,standard,
